SMILES,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C=O,12.483416943988804,-1.0946396687401865,12.483416943988804,0.5320793381725464,0.08941652827829005,570.6480000000003,528.3120000000004,570.312560304,226,0,0.2424301109681173,-0.3451018504528535,0.3451018504528535,0.2424301109681173,0.425,0.625,0.825,16.174812235644133,10.17011239903145,2.271681478568181,-2.2272445853250837,1.9448842424040458,-2.575433332250078,5.963424973883707,-0.1343362634416062,4.748705781215493,972.5230058216115,31.317108287336765,24.039489015607167,24.039489015607167,18.401768778511844,12.741491981530096,12.741491981530096,9.603678413459532,9.603678413459532,5.499907130593773,5.499907130593773,2.8134717905071183,2.8134717905071183,-4.08,104953305.77273808,35.92,16.78854370009541,12.643745036057373,232.61402244157065,47.74572488927833,42.537205498017315,0.0,41.35025810546054,0.0,0.0,33.561760288502754,0.0,0.0,0.0,0.0,55.38989759752498,0.0,12.083681658295921,38.356297472574575,47.63641862859009,0.0,37.217520228044314,5.733667477162185,103.72462423070866,0.0,0.0,0.0,0.0,42.95118770520651,0.0,0.0,0.0,95.97114526177378,38.356297472574575,0.0,55.38989759752498,0.0,0.0,0.0,0.0,246.78999999999996,89.68498473864423,38.356297472574575,0.0,0.0,6.286160523129555,0.0,55.38989759752498,0.0,0.0,37.217520228044314,5.733667477162185,0.0,0.0,96.12203909375339,16.81125530681419,5.440273925483108,-4.534385837709222,-7.7764160719784385,0.5320793381725464,11.238487578797777,0.0,0.6666666666666666,40,9,16,0,0,0,0,0,0,9,8,16,15,0,0,0,0,-3.934599999999997,142.94629999999992,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,7,1,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C=O,12.364861142896787,-1.0541841734270492,12.364861142896787,0.5289358031650824,0.12611950609341485,499.5690000000002,462.27300000000025,499.275446524,198,0,0.2424301109681173,-0.3451018504528535,0.3451018504528535,0.2424301109681173,0.4857142857142857,0.7142857142857143,0.9428571428571428,16.172406736198095,10.173152987093827,2.2638013835238526,-2.2233646924768524,1.937223327640439,-2.5714191374818527,5.957631349402847,-0.13405021993400476,4.685972190388352,817.8432945612291,27.455300967770967,21.053890455953677,21.053890455953677,16.097238325871533,11.132667297918912,11.132667297918912,8.373402239563966,8.373402239563966,4.747858834972704,4.747858834972704,2.4095362684850086,2.4095362684850086,-3.5500000000000003,11135720.714915203,31.449999999999996,14.6555629778538,11.42300591744772,203.80781181472904,42.428936285271995,36.49536466886936,0.0,35.443078376109035,0.0,0.0,28.76722310443093,0.0,0.0,0.0,0.0,48.46616039783436,0.0,12.083681658295921,33.561760288502754,41.72923889923859,0.0,31.900731624037984,5.733667477162185,90.75904620187008,0.0,0.0,0.0,0.0,37.634399101200174,0.0,0.0,0.0,84.02212470327432,33.561760288502754,0.0,48.46616039783436,0.0,0.0,0.0,0.0,217.68999999999997,77.73596418014476,33.561760288502754,0.0,0.0,6.286160523129555,0.0,48.46616039783436,0.0,0.0,31.900731624037984,5.733667477162185,0.0,0.0,83.22362353056148,14.431432903602298,5.4292334918042515,-3.7157492817240723,-6.5236708172816265,0.5396530510121063,9.94881045535891,0.0,0.6666666666666666,35,8,14,0,0,0,0,0,0,8,7,14,13,0,0,0,0,-3.439299999999993,125.34160000000006,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,6,1,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C=O,12.2190948779522,-0.9946180789809043,12.2190948779522,0.5132031313374019,0.18969796107310308,428.4900000000001,396.23400000000015,428.238332744,170,0,0.2424301109680966,-0.3451018504528535,0.3451018504528535,0.2424301109680966,0.5666666666666667,0.8333333333333334,1.1,16.1699009165194,10.177697728194715,2.2538801002768496,-2.2175560893821684,1.927772880581081,-2.5654193186297007,5.950391338374339,-0.13361133078930887,4.604626267630447,667.5522691040917,23.59349364820517,18.068291896300188,18.068291896300188,13.79270787323122,9.523842614307728,9.523842614307728,7.143126065668396,7.143126065668396,3.995810539351635,3.995810539351635,2.005600746462899,2.005600746462899,-3.02,1173588.262901149,26.98,12.522807272646377,9.453815491545441,175.00160118788742,37.11214768126566,30.4535238397214,0.0,29.535898646757527,0.0,0.0,23.97268592035911,0.0,0.0,0.0,0.0,41.54242319814374,0.0,12.083681658295921,28.76722310443093,35.82205916988708,0.0,26.583943020031654,5.733667477162185,77.7934681730315,0.0,0.0,0.0,0.0,32.31761049719384,0.0,0.0,0.0,72.07310414477485,28.76722310443093,0.0,41.54242319814374,0.0,0.0,0.0,0.0,188.58999999999997,65.78694362164529,28.76722310443093,0.0,0.0,6.286160523129555,0.0,41.54242319814374,0.0,0.0,26.583943020031654,5.733667477162185,0.0,0.0,70.40267601507932,12.04513978997387,5.41451094622234,-2.922893399731742,-5.300111217857843,0.549468541073936,8.64454265857345,0.0,0.6666666666666666,30,7,12,0,0,0,0,0,0,7,6,12,11,0,0,0,0,-2.943999999999993,107.73690000000005,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C=O,12.019019694297473,-0.9297254766103975,12.019019694297473,0.49134669145994603,0.288023488092792,357.41100000000006,330.19500000000005,357.201218964,142,0,0.24243011092497008,-0.3451018504528535,0.3451018504528535,0.24243011092497008,0.68,1.0,1.32,16.16719503555419,10.184927204413096,2.2401606158944642,-2.2082884414666903,1.9150023911385994,-2.555861337816643,5.940470898074192,-0.13293057836741873,4.494896651643349,522.4414648186118,19.73168632863937,15.082693336646699,15.082693336646699,11.488177420590908,7.915017930696543,7.915017930696543,5.912849891772826,5.912849891772826,3.2437622437305658,3.2437622437305658,1.6016652244407892,1.6016652244407892,-2.4899999999999998,122491.76262090272,22.51,10.39042500569278,8.246281248863786,146.19539056104577,31.795359077259327,24.411683010573437,0.0,23.628718917406022,0.0,0.0,19.178148736287287,0.0,0.0,0.0,0.0,34.61868599845312,0.0,12.083681658295921,23.97268592035911,29.91487944053558,0.0,21.267154416025324,5.733667477162185,64.82789014419292,0.0,0.0,0.0,0.0,27.000821893187506,0.0,0.0,0.0,60.124083586275376,23.97268592035911,0.0,34.61868599845312,0.0,0.0,0.0,0.0,159.48999999999998,53.83792306314582,23.97268592035911,0.0,0.0,6.286160523129555,0.0,34.61868599845312,0.0,0.0,21.267154416025324,5.733667477162185,0.0,0.0,57.68433489648941,9.65067084489759,5.3939074397361075,-2.1646350136376067,-4.115050922633134,0.5626668635674212,7.321439224913545,0.0,0.6666666666666666,25,6,10,0,0,0,0,0,0,6,5,10,9,0,0,0,0,-2.4486999999999943,90.13220000000004,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C=O,11.755115268329554,-0.8198592214663647,11.755115268329554,0.4589521297372132,0.40391498218653576,286.332,264.15599999999995,286.164105184,114,0,0.24242976381393314,-0.3451018504528535,0.3451018504528535,0.24242976381393314,0.85,1.25,1.65,16.164049360984333,10.197419363775237,2.2186592894128143,-2.192151933285923,1.8954802012004988,-2.5392758893970733,5.925090200483835,-0.13172111204040768,4.338671174053402,383.65361199293994,15.869879009073573,12.09709477699321,12.09709477699321,9.183646967950596,6.306193247085359,6.306193247085359,4.682573717877256,4.682573717877256,2.4917139481094965,2.4917139481094965,1.1977297024186797,1.1977297024186797,-1.9599999999999997,12594.727364023416,18.04,8.258731915509259,6.278141644126123,117.38917993420414,26.478570473252997,18.369842181425476,0.0,17.721539188054518,0.0,0.0,14.383611552215466,0.0,0.0,0.0,0.0,27.694948798762496,0.0,12.083681658295921,19.178148736287287,24.007699711184074,0.0,15.950365812018994,5.733667477162185,51.86231211535434,0.0,0.0,0.0,0.0,21.684033289181176,0.0,0.0,0.0,48.17506302777591,19.178148736287287,0.0,27.694948798762496,0.0,0.0,0.0,0.0,130.39,41.88890250464636,19.178148736287287,0.0,0.0,6.286160523129555,0.0,27.694948798762496,0.0,0.0,15.950365812018994,5.733667477162185,0.0,0.0,45.10839614331671,7.245741790543377,5.363052415321674,-1.4551784566877453,-2.983076316704114,0.5812755427392873,5.973122214804143,0.0,0.6666666666666666,20,5,8,0,0,0,0,0,0,5,4,8,7,0,0,0,0,-1.953399999999996,72.52750000000003,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C=O,11.344885676492819,-0.7028703703703709,11.344885676492819,0.4061054421768706,0.48780095423344466,215.253,198.11699999999996,215.126991404,86,0,0.24235124408276965,-0.3451018528208929,0.3451018528208929,0.24235124408276965,1.1333333333333333,1.6666666666666667,2.066666666666667,16.159829835337472,10.221716162868153,2.1787571972396056,-2.1601781804129407,1.8602143384059973,-2.5065784540540776,5.896876415074099,-0.12946179474813754,4.098225332467839,252.9871242601569,12.008071689507773,9.11149621733972,9.11149621733972,6.879116515310285,4.697368563474175,4.697368563474175,3.4522975439816865,3.4522975439816865,1.7396656524884273,1.7396656524884273,0.7937941803965701,0.7937941803965701,-1.43,1261.8968843498394,13.57,6.128539347163457,5.114936370235235,88.5829693073625,21.161781869246667,12.328001352277516,0.0,11.814359458703011,0.0,0.0,9.589074368143644,0.0,0.0,0.0,0.0,20.771211599071872,0.0,12.083681658295921,14.383611552215466,18.100519981832566,0.0,10.633577208012662,5.733667477162185,38.89673408651576,0.0,0.0,0.0,0.0,16.367244685174846,0.0,0.0,0.0,36.22604246927645,14.383611552215466,0.0,20.771211599071872,0.0,0.0,0.0,0.0,101.28999999999999,29.939881946146894,14.383611552215466,0.0,0.0,6.286160523129555,0.0,13.847474399381248,6.923737199690624,0.0,10.633577208012662,5.733667477162185,0.0,0.0,32.74353500041992,4.827708805744519,5.311872323003276,-0.8194387755102035,-1.9288921432770654,0.6091252519526329,4.589422871000252,0.0,0.6666666666666666,15,4,6,0,0,0,0,0,0,4,3,6,5,0,0,0,0,-1.4580999999999993,54.922800000000024,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C=O,11.642131991685563,-1.0561048467826064,11.642131991685563,0.0014569160997732755,0.39222488162078634,273.289,254.13699999999994,273.132470708,108,0,0.3029341268721384,-0.48122927102723223,0.48122927102723223,0.3029341268721384,1.2105263157894737,1.7894736842105263,2.210526315789474,16.36525653176829,10.136862122965208,2.2012373528686653,-2.177415558691651,1.9588859529692333,-2.5120935928681125,5.898530026287803,-0.13720123483765478,4.282028834607757,356.2398201788407,14.999635521070495,10.881171665676636,10.881171665676636,8.772963365427637,5.8095509183235965,5.8095509183235965,4.202529159499153,4.202529159499153,2.3267397119364044,2.3267397119364044,1.1713150836402895,1.1713150836402895,-1.9599999999999997,8231.300657193493,17.04,8.196124853619395,7.1424483511399615,110.26860938839553,26.26830926408737,12.328001352277516,0.0,11.814359458703011,0.0,5.969305287951849,14.383611552215466,0.0,0.0,0.0,0.0,20.268296022307258,6.4208216229260096,12.083681658295921,24.284676131127995,24.069825269784417,0.0,10.633577208012662,5.733667477162185,44.814640132677155,0.0,0.0,0.0,0.0,16.367244685174846,0.0,0.0,0.0,47.301875152069,19.178148736287287,0.0,26.689117645233267,0.0,0.0,0.0,0.0,138.59,35.909187234098745,19.178148736287287,0.0,12.841643245852019,6.286160523129555,0.0,13.847474399381248,0.0,0.0,10.633577208012662,10.84019487200289,0.0,0.0,43.95815026835905,13.187114648468814,5.3276066868436995,-2.1187642855581164,-2.4924459080515193,0.22592311770387163,2.912415472234195,0.0,0.6363636363636364,19,5,8,0,0,0,0,0,0,5,4,8,8,0,0,0,0,-1.6131999999999975,66.11860000000003,1,0,0,0,0,0,0,0,1,1,4,3,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C=O,12.61880458973713,-1.1930783362727813,12.61880458973713,0.18275903880070543,0.27343258929002895,420.4660000000001,392.2420000000002,420.200884616,164,0,0.30293567268376576,-0.48122926245045583,0.48122926245045583,0.30293567268376576,1.0,1.6333333333333333,2.1666666666666665,16.36531460049137,10.052278439509703,2.2655631438337265,-2.226147153427541,2.0434802780187145,-2.553633743862092,5.930249633776705,-0.13781875986642209,2.7971277587537506,752.9234035174284,22.681433796945196,16.960628352464802,16.960628352464802,14.133136710733774,9.513510616325252,9.513510616325252,6.95342605955438,6.95342605955438,4.235830247247636,4.235830247247636,2.528235375170064,2.528235375170064,-3.269999999999999,2203361.858952399,24.76741114852226,12.325994980232766,8.822313019754725,174.13191422130114,31.5850978680937,18.369842181425476,0.0,17.721539188054518,0.0,5.969305287951849,19.178148736287287,0.0,0.0,0.0,30.33183534230805,32.25256913693026,6.4208216229260096,12.083681658295921,29.079213315199816,29.97700499913592,0.0,15.950365812018994,5.733667477162185,57.277302584751126,0.0,35.89528683400505,0.0,0.0,21.684033289181176,0.0,0.0,0.0,59.250895710568464,30.393507543285118,0.0,32.25256913693026,30.33183534230805,0.0,0.0,0.0,167.69,47.85820779259821,23.97268592035911,0.0,19.26246486877803,6.286160523129555,5.563451491696996,13.847474399381248,24.26546827384644,6.06636706846161,15.950365812018994,10.84019487200289,0.0,0.0,58.90865449703893,16.255657253571457,6.269157237119553,-3.061806503930491,5.1651230922443725,0.26800392305172216,2.8618771675711265,0.0,0.45,30,6,10,0,0,0,1,0,1,6,5,10,12,0,0,0,1,-0.8856999999999957,108.19530000000005,1,0,0,0,0,0,0,0,1,1,5,4,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CO)C=O,12.076374191651968,-1.25717403628118,12.076374191651968,0.23822373393801977,0.20842000193675703,360.3670000000001,336.17500000000007,360.164499108,142,0,0.3029356726838513,-0.48122926245045566,0.48122926245045566,0.3029356726838513,1.04,1.64,2.08,16.365366203059438,10.096561773378525,2.2623590661202475,-2.219927562965626,2.0017789994811426,-2.5550283490665833,5.929828005301449,-0.1378727257708559,4.934869677988553,509.408730050829,19.56854962182284,14.021090602016631,14.021090602016631,11.615498620528733,7.565501389225855,7.565501389225855,5.446277540504015,5.446277540504015,3.134086470217381,3.134086470217381,1.6497412828302105,1.6497412828302105,-2.53,137563.66675902857,22.470000000000002,11.09922858056885,8.766354702915454,143.8690537674332,36.69162526293441,24.411683010573437,0.0,17.721539188054518,0.0,5.969305287951849,19.178148736287287,0.0,0.0,0.0,0.0,20.268296022307258,6.4208216229260096,12.648722793660879,34.18574071004052,29.97700499913592,0.0,15.950365812018994,5.733667477162185,50.85648096182511,6.606881964512918,0.0,0.0,0.0,21.684033289181176,0.0,0.0,0.0,70.96430506992209,23.97268592035911,0.0,26.689117645233267,0.0,0.0,0.0,0.0,187.92,60.88591138003713,23.97268592035911,0.0,6.4208216229260096,6.286160523129555,0.0,13.847474399381248,0.0,0.0,15.950365812018994,15.946722266843596,0.0,0.0,56.97452653717663,24.444545825752257,5.370424681857693,-3.312408344421333,-4.280744758404843,-0.34607766860697997,2.1497337266465704,0.0,0.6428571428571429,25,7,11,0,0,0,0,0,0,7,6,11,11,0,0,0,0,-3.1360999999999963,85.13510000000002,1,1,1,0,0,0,0,0,1,1,5,4,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H]([C@@H](C)O)C=O,12.221929747207525,-1.2690258881330319,12.221929747207525,0.2437981859410432,0.20986432014418574,374.39400000000006,348.1860000000001,374.180149172,148,0,0.302935672683861,-0.48122926245045566,0.48122926245045566,0.302935672683861,1.0,1.5769230769230769,2.0,16.365385040186396,10.084816251568945,2.2742218582939375,-2.2323029465913957,2.0118935198426566,-2.5618399437318535,5.930269542485055,-0.13796168670199993,5.032078967236092,536.0879413408353,20.43879310982592,14.89133409001971,14.89133409001971,11.988177420590908,8.009907825015276,8.009907825015276,5.923597127018535,5.923597127018535,3.4207224101740987,3.4207224101740987,1.776910541155649,1.776910541155649,-2.53,193410.65141551715,23.47,11.156353140046717,8.533027642298322,150.23399588182977,36.69162526293441,24.411683010573437,0.0,17.721539188054518,0.0,5.969305287951849,19.178148736287287,0.0,0.0,0.0,0.0,27.19203322199788,6.4208216229260096,12.145807216896262,34.18574071004052,29.97700499913592,0.0,15.950365812018994,5.733667477162185,63.884184549264035,0.0,0.0,0.0,0.0,21.684033289181176,0.0,0.0,0.0,70.46138949315747,23.97268592035911,0.0,33.61285484492389,0.0,0.0,0.0,0.0,187.92,60.382995803272514,29.079213315199816,0.0,6.4208216229260096,6.286160523129555,0.0,20.771211599071872,0.0,0.0,15.950365812018994,10.84019487200289,0.0,0.0,57.48298856698651,25.04437439298162,5.383416408791728,-3.319731197817868,-4.333882522833643,-1.5074254293085465,4.083593114533528,0.0,0.6666666666666666,26,7,11,0,0,0,0,0,0,7,6,11,11,0,0,0,0,-2.747599999999996,89.73010000000004,1,1,1,0,0,0,0,0,1,1,5,4,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
